,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
0,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,8
1,0.556,0.661,6,-5.052,0,0.204,0.3,0.0,0.101,0.668,168.56,7
2,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,7
3,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,2
4,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4
5,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,2
6,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,8
7,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,7
8,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,4
9,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,4
10,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,7
11,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,2
12,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,4
13,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,6
14,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4
15,0.596,0.65,9,-5.167,1,0.337,0.138,0.0,0.14,0.188,133.997,6
16,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,1
17,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,8
18,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,1
19,0.643,0.403,1,-11.254,0,0.41,0.343,0.0,0.138,0.111,98.54,6
20,0.754,0.66,0,-6.811,1,0.267,0.179,0.0,0.194,0.316,83.0,6
21,0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,2
22,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,1
23,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,8
24,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,7
25,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,4
26,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051,6
27,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,4
28,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,6
29,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,7
30,0.744,0.697,11,-4.067,1,0.136,0.0415,0.0,0.112,0.238,150.046,8
31,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062,6
32,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,7
33,0.788,0.628,11,-5.746,0,0.12,0.00715,0.0,0.132,0.479,104.083,7
34,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,2
35,0.582,0.537,0,-9.229,1,0.619,0.129,0.0,0.0749,0.771,82.103,6
36,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,6
37,0.533,0.855,6,-2.901,1,0.0356,0.0553,0.0,0.335,0.64,102.017,8
38,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,7
39,0.521,0.746,6,-6.173,1,0.0351,0.00985,0.0,0.0741,0.473,149.977,4
40,0.853,0.426,1,-6.812,1,0.374,0.0765,0.0,0.104,0.201,160.051,6
41,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,7
42,0.856,0.727,2,-5.616,1,0.277,0.013,0.0,0.117,0.286,146.044,6
43,0.641,0.598,7,-5.7,0,0.324,0.381,0.0,0.0921,0.285,131.459,6
44,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,6
45,0.77,0.561,10,-4.97,0,0.083,0.14,0.0,0.123,0.81,145.928,7
46,0.741,0.647,2,-12.878,1,0.0427,0.108,0.00139,0.0555,0.804,131.097,2
47,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,6
48,0.912,0.608,1,-7.686,1,0.397,0.0458,0.0,0.248,0.327,136.994,6
49,0.707,0.689,4,-7.097,0,0.0387,0.0255,0.0,0.383,0.41,119.987,7
50,0.484,0.783,2,-5.334,1,0.0308,0.0957,0.000118,0.107,0.594,137.918,2
51,0.398,0.716,0,-5.254,1,0.0392,0.0764,0.0,0.0848,0.494,117.295,2
52,0.808,0.626,3,-4.577,0,0.0353,0.397,0.00584,0.102,0.569,127.955,7
53,0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,1
54,0.643,0.756,6,-5.8,0,0.0305,0.0215,0.000268,0.101,0.934,90.001,7
55,0.742,0.701,1,-5.92,1,0.21,0.0821,0.0,0.116,0.178,137.951,6
56,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,7
57,0.89,0.674,11,-5.45,0,0.318,0.107,0.0,0.111,0.248,134.028,6
58,0.582,0.868,11,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105,8
59,0.789,0.609,1,-5.969,1,0.174,0.0439,0.0,0.178,0.0816,136.001,2
60,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,2
61,0.562,0.649,9,-5.4,1,0.0494,0.231,0.0,0.341,0.376,145.913,4
62,0.748,0.551,11,-6.12,1,0.0349,0.235,0.0,0.119,0.66,103.953,8
63,0.293,0.619,8,-7.923,1,0.0594,0.0357,0.927,0.108,0.0582,39.615,0
64,0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,1
65,0.953,0.621,8,-7.638,0,0.221,0.017,0.0,0.0398,0.883,123.016,6
66,0.763,0.798,2,-4.692,1,0.397,0.0555,0.0,0.116,0.482,77.987,6
67,0.469,0.613,11,-6.556,1,0.335,0.0747,0.0,0.205,0.135,72.434,6
68,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,8
69,0.741,0.892,10,-4.225,0,0.304,0.172,0.0,0.126,0.56,159.088,6
70,0.53,0.826,4,-6.369,1,0.43,0.0209,0.0,0.0915,0.277,95.99,6
71,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,8
72,0.884,0.577,1,-4.716,1,0.319,0.0843,0.0,0.0602,0.854,137.032,6
73,0.581,0.441,1,-6.829,1,0.0268,0.77,2.75e-05,0.111,0.337,82.125,1
74,0.634,0.285,9,-14.007,0,0.0807,0.937,0.000359,0.232,0.203,129.65,1
75,0.847,0.405,11,-10.901,1,0.584,0.232,5.37e-06,0.0944,0.588,156.999,6
76,0.722,0.588,6,-5.932,1,0.0544,0.0319,0.0,0.183,0.59,134.01,8
77,0.697,0.535,4,-6.504,1,0.068,0.247,0.0,0.569,0.594,82.959,5
78,0.677,0.634,7,-6.231,1,0.335,0.228,0.0,0.131,0.496,90.268,6
79,0.644,0.563,0,-9.814,0,0.159,0.0518,0.0,0.179,0.339,160.106,7
80,0.546,0.934,4,-3.796,1,0.0643,0.00187,0.0,0.062,0.775,89.972,2
81,0.584,0.859,8,-5.616,1,0.121,0.0144,0.0,0.847,0.369,77.005,5
82,0.701,0.547,2,-8.238,1,0.0483,0.00843,0.0,0.0987,0.4,140.015,2
83,0.443,0.298,0,-12.181,1,0.0644,0.388,1e-05,0.103,0.172,77.253,1
84,0.901,0.656,4,-7.452,0,0.277,0.0807,0.0,0.181,0.599,119.956,6
85,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,1
86,0.847,0.629,9,-5.81,1,0.102,0.0318,0.0,0.152,0.109,135.976,8
87,0.752,0.563,3,-8.066,0,0.209,0.146,0.0,0.103,0.551,145.05,6
88,0.627,0.678,2,-4.691,1,0.0294,0.185,0.0,0.374,0.724,100.032,2
89,0.542,0.732,9,-5.956,1,0.0521,0.00209,7.92e-05,0.496,0.489,124.912,5
90,0.596,0.679,4,-6.395,1,0.0394,0.723,0.0,0.116,0.479,131.912,4
91,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,6
92,0.871,0.545,7,-10.489,1,0.189,0.0143,0.0,0.148,0.722,100.482,6
93,0.55,0.637,8,-5.212,1,0.163,0.597,0.0,0.129,0.535,84.448,8
94,0.777,0.58,0,-6.928,0,0.0525,0.0125,0.0,0.161,0.0636,129.918,7
95,0.659,0.683,3,-5.623,1,0.0312,0.513,4.93e-06,0.133,0.397,139.931,4
96,0.467,0.481,2,-6.947,1,0.0255,0.227,0.000189,0.11,0.248,147.886,4
97,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991,8
98,0.795,0.599,6,-7.819,1,0.123,0.0414,0.0,0.193,0.351,97.033,8
99,0.573,0.867,5,-2.876,0,0.168,0.0853,0.0,0.38,0.231,74.861,7
100,0.221,0.126,0,-25.427,1,0.0447,0.989,0.897,0.102,0.216,133.63,3
101,0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,3
102,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,3
103,0.23,0.0487,5,-27.675,1,0.0412,0.986,0.945,0.0679,0.101,134.839,3
104,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,3
105,0.148,0.0722,4,-25.217,0,0.0427,0.944,0.148,0.115,0.0467,87.882,3
106,0.309,0.258,9,-15.327,1,0.0459,0.976,0.69,0.0924,0.115,74.568,3
107,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,3
108,0.205,0.0686,4,-23.415,0,0.0462,0.873,0.402,0.0909,0.0359,90.779,3
109,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,3
110,0.303,0.119,9,-18.055,0,0.0386,0.975,0.88,0.112,0.038,94.868,3
111,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,3
112,0.371,0.131,2,-23.899,1,0.0413,0.898,0.925,0.0847,0.0655,105.328,3
113,0.326,0.33,7,-12.967,0,0.0406,0.871,0.749,0.128,0.293,118.668,3
114,0.0783,0.0523,5,-23.247,1,0.0471,0.896,0.945,0.0806,0.0327,82.015,3
115,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,3
116,0.193,0.0656,10,-19.239,1,0.0471,0.995,0.829,0.119,0.0359,128.975,3
117,0.353,0.254,0,-16.205,1,0.0349,0.948,0.859,0.0843,0.0986,133.808,3
118,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.604,0.143,0.0936,94.736,3
119,0.13,0.158,2,-16.132,1,0.035,0.748,0.924,0.1,0.0998,85.031,3
120,0.194,0.0545,4,-24.877,1,0.0366,0.983,0.945,0.0551,0.0385,140.966,3
121,0.0999,0.0241,2,-25.651,1,0.0432,0.98,0.766,0.0623,0.0396,89.001,3
122,0.248,0.298,0,-15.661,0,0.0395,0.957,0.9,0.0943,0.157,97.853,3
123,0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,3
124,0.496,0.249,3,-18.131,1,0.0411,0.98,0.934,0.12,0.719,144.239,3
125,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,3
126,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,3
127,0.212,0.301,2,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,1
128,0.351,0.206,1,-22.657,1,0.0597,0.797,0.255,0.0738,0.0839,130.415,3
129,0.223,0.165,10,-16.394,1,0.0504,0.984,0.95,0.348,0.0518,73.463,3
130,0.312,0.0465,9,-26.438,0,0.0378,0.981,0.9,0.0872,0.0371,130.303,3
131,0.0753,0.07,2,-27.272,1,0.044,0.918,0.947,0.146,0.0625,79.801,3
132,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,3
133,0.212,0.119,1,-20.511,1,0.0366,0.976,0.907,0.087,0.0396,84.346,3
134,0.244,0.0021,1,-41.044,0,0.0417,0.995,0.86,0.161,0.187,64.364,3
135,0.298,0.346,3,-15.465,1,0.0416,0.824,0.694,0.295,0.482,78.989,3
136,0.113,0.161,7,-20.046,1,0.0442,0.484,0.928,0.16,0.0365,65.062,3
137,0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,3
138,0.0623,0.0116,2,-27.893,1,0.0567,0.991,0.445,0.0816,0.0331,65.057,3
139,0.151,0.0639,11,-24.404,0,0.0439,0.962,0.603,0.466,0.0797,61.577,3
140,0.102,0.0733,10,-24.133,0,0.0488,0.974,0.859,0.28,0.0308,73.954,3
141,0.31,0.0555,7,-25.695,1,0.0395,0.994,0.906,0.121,0.566,70.515,3
142,0.292,0.246,2,-14.96,1,0.0385,0.922,0.525,0.107,0.0859,109.766,3
143,0.128,0.0386,0,-23.759,1,0.0434,0.991,0.94,0.104,0.0359,75.081,3
144,0.209,0.101,0,-19.383,1,0.0403,0.927,0.9,0.0776,0.153,85.851,3
145,0.398,0.373,1,-14.065,1,0.0524,0.889,0.193,0.121,0.61,106.688,1
146,0.25,0.135,9,-18.615,1,0.0488,0.958,0.0349,0.0477,0.179,94.404,1
147,0.295,0.408,4,-16.632,0,0.0693,0.804,0.148,0.165,0.164,150.454,1
148,0.165,0.106,8,-21.742,1,0.039,0.807,0.782,0.105,0.0336,105.651,3
149,0.176,0.006,5,-42.238,1,0.0384,0.899,3.24e-05,0.105,0.0383,71.477,3
150,0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,0
151,0.115,0.0422,8,-24.137,1,0.0404,0.966,0.919,0.0896,0.037,87.855,3
152,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,3
153,0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,3
154,0.191,0.0363,3,-25.31,1,0.0409,0.991,0.924,0.141,0.0372,69.754,3
155,0.322,0.14,4,-20.747,1,0.0489,0.906,0.759,0.125,0.285,92.122,3
156,0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,3
157,0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,1
158,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,3
159,0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,3
160,0.458,0.11,9,-22.234,0,0.0309,0.977,0.903,0.359,0.481,83.43,3
161,0.224,0.0291,7,-26.167,1,0.0455,0.959,0.845,0.106,0.0538,121.131,3
162,0.101,0.0241,11,-30.172,0,0.0485,0.947,0.847,0.0693,0.0329,87.14,3
163,0.223,0.227,0,-17.695,1,0.0343,0.871,0.891,0.063,0.127,103.618,3
164,0.352,0.235,2,-16.235,1,0.0398,0.894,0.675,0.396,0.329,109.16,3
165,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,3
166,0.142,0.113,2,-25.362,0,0.0415,0.859,0.838,0.107,0.0697,98.575,3
167,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,3
168,0.218,0.117,0,-18.585,1,0.0489,0.94,0.861,0.15,0.0599,77.009,3
169,0.377,0.173,9,-21.377,1,0.0329,0.991,0.909,0.103,0.558,132.187,3
170,0.116,0.0694,0,-23.624,1,0.0497,0.969,0.644,0.109,0.0377,169.789,3
171,0.193,0.0839,8,-22.849,1,0.0406,0.971,0.822,0.118,0.0569,85.556,3
172,0.241,0.122,7,-22.411,1,0.0497,0.925,0.66,0.126,0.187,66.325,3
173,0.164,0.0194,3,-34.126,1,0.0434,0.938,0.859,0.0939,0.0581,101.708,3
174,0.436,0.00518,7,-36.593,1,0.067,0.995,0.932,0.0788,0.275,135.286,3
175,0.0891,0.341,10,-12.681,0,0.046,0.145,0.836,0.111,0.0334,85.231,3
176,0.12,0.138,10,-15.538,1,0.048,0.994,0.686,0.11,0.043,67.894,3
177,0.156,0.0978,5,-16.326,1,0.0371,0.976,0.893,0.0854,0.0638,179.447,3
178,0.177,0.127,8,-19.167,1,0.0394,0.903,0.901,0.114,0.0612,149.698,3
179,0.367,0.316,9,-14.49,0,0.0429,0.927,0.779,0.113,0.242,149.089,3
180,0.356,0.152,4,-20.155,1,0.0406,0.981,0.903,0.0807,0.04,132.413,3
181,0.339,0.0588,10,-17.647,0,0.0373,0.984,0.862,0.12,0.198,105.916,3
182,0.359,0.046,6,-18.725,0,0.0407,0.901,0.118,0.277,0.263,127.653,1
183,0.166,0.0363,11,-26.822,1,0.0381,0.978,0.922,0.0882,0.039,84.467,3
184,0.144,0.0868,8,-23.338,1,0.0387,0.891,0.904,0.177,0.0737,94.463,3
185,0.0754,0.0102,4,-35.69,1,0.0464,0.901,0.106,0.0817,0.0331,81.324,3
186,0.463,0.162,7,-24.484,0,0.045,0.963,0.825,0.0943,0.374,125.514,3
187,0.357,0.0464,8,-20.868,1,0.0434,0.992,0.859,0.109,0.0417,69.859,3
188,0.253,0.177,7,-19.525,1,0.0346,0.894,0.573,0.668,0.242,89.052,3
189,0.413,0.135,2,-23.277,1,0.0436,0.994,0.902,0.0823,0.0715,145.802,3
190,0.156,0.162,2,-17.101,0,0.036,0.897,0.691,0.111,0.077,73.407,3
191,0.339,0.0937,2,-20.267,1,0.0394,0.931,0.293,0.252,0.458,123.048,3
192,0.0716,0.0408,7,-28.284,1,0.0399,0.851,0.901,0.0844,0.0377,77.047,3
193,0.24,0.0648,4,-25.208,0,0.0426,0.935,0.0272,0.258,0.0771,95.286,3
194,0.186,0.124,1,-15.271,1,0.0434,0.978,0.865,0.111,0.248,77.903,3
195,0.161,0.0144,6,-30.883,1,0.0365,0.986,0.117,0.0836,0.0336,82.646,3
196,0.203,0.112,11,-18.029,0,0.0418,0.936,0.935,0.126,0.0374,72.483,3
197,0.154,0.00261,1,-36.267,1,0.0419,0.89,0.763,0.125,0.0366,83.549,3
198,0.364,0.0592,2,-21.757,1,0.057,0.978,0.0,0.0823,0.185,123.789,1
199,0.169,0.0974,3,-21.414,1,0.042,0.864,0.632,0.087,0.0524,170.379,3
